title,description,start_event_date,end_event_date,location,created_by
Lễ Hội Xuân 2025,"Lễ Hội Xuân 2025 – Sự kiện mừng năm mới với nhiều hoạt động văn hóa, trò chơi và gian hàng truyền thống.",1/3/2025,1/4/2025,"Trung tâm Hội nghị Quốc gia, Hà Nội",1
Ngày Hội Sách & Tri Thức,"Ngày Hội Sách & Tri Thức – Không gian đọc mở kết hợp hội thảo, giao lưu tác giả và gian hàng sách giảm giá.",1/5/2025,1/6/2025,Đại học Bách Khoa TP.HCM,1
Hội Thảo Công Nghệ Số,Hội Thảo Công Nghệ Số – Cập nhật xu hướng chuyển đổi số và các giải pháp công nghệ mới nhất.,1/12/2025,1/14/2025,Đại học Công nghệ Thông tin UIT,1
Ngày Hội Tuyển Sinh Đại Học,"Ngày Hội Tuyển Sinh Đại Học – Cung cấp thông tin ngành học, tư vấn tuyển sinh và định hướng nghề nghiệp.",1/18/2025,1/19/2025,Nhà Văn hóa Thanh Niên TP.HCM,1
Festival Văn Hóa Truyền Thống,Festival Văn Hóa Truyền Thống – Tái hiện văn hóa dân gian qua biểu diễn nghệ thuật và hoạt động trải nghiệm.,1/25/2025,1/27/2025,"Công viên Tao Đàn, TP.HCM",1
Chung Kết Cuộc Thi Hùng Biện,Chung Kết Cuộc Thi Hùng Biện – Nơi các thí sinh thể hiện tư duy phản biện và kỹ năng trình bày chuyên nghiệp.,2/1/2025,2/2/2025,Nhà hát Lớn Hà Nội,1
Hội Thảo Khởi Nghiệp Trẻ,"Hội Thảo Khởi Nghiệp Trẻ – Chia sẻ kinh nghiệm khởi nghiệp và kết nối với các cố vấn, nhà đầu tư.",2/4/2025,2/5/2025,Trường Đại học Kinh tế Quốc dân,1
Ngày Hội Sắc Màu Quốc Tế,Ngày Hội Sắc Màu Quốc Tế – Sự kiện giao lưu văn hóa đa quốc gia với biểu diễn nghệ thuật và ẩm thực.,2/10/2025,2/12/2025,Ký túc xá Đại học Quốc gia TP.HCM,1
Workshop Thiết Kế Đồ Họa,Workshop Thiết Kế Đồ Họa – Hướng dẫn kỹ thuật thiết kế hiện đại bằng công cụ chuyên nghiệp.,2/18/2025,2/19/2025,"Phòng Hội thảo A1, Đại học HCMUTE",1
Cuộc Thi Lập Trình Hackathon,Cuộc Thi Lập Trình Hackathon – Các đội thi lập trình trong thời gian giới hạn để tạo ra sản phẩm thực tế.,2/27/2025,2/28/2025,Trung tâm Triển lãm SECC Quận 7,1
Giải Chạy Bộ Thanh Niên,Giải Chạy Bộ Thanh Niên – Hoạt động rèn luyện sức khỏe và gắn kết cộng đồng sinh viên.,3/2/2025,3/3/2025,Đại học FPT Hà Nội,1
Ngày Hội Sinh Viên Tình Nguyện,Ngày Hội Sinh Viên Tình Nguyện – Triển khai các hoạt động hỗ trợ cộng đồng và lan tỏa tinh thần sẻ chia.,3/5/2025,3/7/2025,Đại học FPT TP.HCM,1
Hội Chợ Ẩm Thực Ba Miền,Hội Chợ Ẩm Thực Ba Miền – Khám phá món ngon đặc sắc từ Bắc – Trung – Nam.,3/12/2025,3/14/2025,"Công viên Thống Nhất, Hà Nội",1
Triển Lãm Mỹ Thuật Đương Đại,Triển Lãm Mỹ Thuật Đương Đại – Trưng bày tác phẩm nghệ thuật sáng tạo của sinh viên và nghệ sĩ trẻ.,3/20/2025,3/21/2025,Trường Đại học Y Dược TP.HCM,1
Đêm Nhạc Giao Lưu Bạn Trẻ,Đêm Nhạc Giao Lưu Bạn Trẻ – Sân khấu âm nhạc sôi động với sự tham gia của các CLB và nghệ sĩ khách mời.,3/28/2025,3/30/2025,Nhà Thiếu nhi TP.HCM,1
Ngày Hội Việc Làm 2025,Ngày Hội Việc Làm 2025 – Cơ hội gặp gỡ nhà tuyển dụng và tìm kiếm việc làm – thực tập.,4/2/2025,4/3/2025,Khu đô thị Sala Quận 2,1
Talkshow Chinh Phục Công Nghệ AI,Talkshow Chinh Phục Công Nghệ AI – Giải mã cách AI vận hành và ứng dụng trong đời sống.,4/5/2025,4/7/2025,Đại học RMIT Việt Nam,1
Hội Thảo An Toàn Thông Tin,Hội Thảo An Toàn Thông Tin – Nâng cao nhận thức về bảo mật và phòng chống rủi ro mạng.,4/11/2025,4/13/2025,Đại học Sư phạm Kỹ thuật TP.HCM,1
Ngày Hội CLB – Đoàn Hội,Ngày Hội CLB – Đoàn Hội – Giới thiệu hoạt động các CLB và tuyển thành viên mới.,4/18/2025,4/20/2025,Trường Đại học Mở TP.HCM,1
Lễ Tri Ân Ngày Nhà Giáo Việt Nam,Lễ Tri Ân Ngày Nhà Giáo Việt Nam – Tôn vinh những đóng góp ý nghĩa của thầy cô.,4/25/2025,4/27/2025,Nhà Văn hóa Sinh viên Thủ Đức,1
Festival Tiếng Anh – English Day,"Festival Tiếng Anh – English Day – Ngày hội luyện tập tiếng Anh qua trò chơi, sân khấu và giao lưu quốc tế.",5/1/2025,5/2/2025,Trung tâm Văn hóa Quận 1,1
